Monat,Jahr ,Wärme 100.5,Wärme 1.2,Wärme 1.3,Kälte 1.1,Kälte 1.2,Kälte 1.3,Wärme 2.1,Wärme 2.2,Kälte 2.1,Kälte 2.2,Kälte 2.3,Wärme 3.1,Wärme 3.2,Kälte 3.1,Kälte 3.2,Kälte 3.3,"Wärme 
gesamt","Kälte 
gesamt"
Januar,1947,143.2,481.2,143.2,0,0,0,492,1817,0,0,0,0,0,0,0,0,3077,0
Februar,2022,56.2,227.1,56.2,0,0,0,258,1134.3,0,0,0,0,0,0,0,0,1732,0
März,2022,2,209.7,2,0,0,0,271.6,1280.4,0,0,0,0,0,0,0,0,1766,0
April,2022,16.9,85,16.9,0,0,0,55.8,265.2,0,0,0,0,0,0,0,0,440,0
Mai ,2022,15.6,21,15.6,38.3,0.2,31.9,16.5,4.9,3.9,173.9,237.2,0,0,2.7,0,0,74,688.1
Juni,2022,24.8,36.4,24.8,18.7,0,93.9,21.6,9.5,1.5,406.4,564.7,0,0,0.3,0,0,117,1085.5
Juli,2022,26.4,21.3,26.4,24.8,0.9,118.9,13.4,4.8,32.9,465.9,817,0,0,0.9,0,0,92,1461.3
August,2022,15.7,7.6,15.7,15.6,1.4,85.4,7.7,2.6,10.8,304.6,625.3,0,0,4.5,0,0,49,1047.6
September,2022,12.8,3.7,12.8,0,0.4,6.4,36.1,125.3,0.4,72.9,117.5,0,0,0.2,0,0,191,197.8
Oktober,2022,0.6,2.5,0.6,0,0,0,26,407,0,0,1.2,0,0,0,0,0,437,1.2
November,2022,26.9,109.4,26.9,0,0,0,305.6,863,0,0,0,0,0,0,0,0,1332,0
Dezember,2022,73.5,281.5,73.5,0,0,0,1020.2,1363,0,0,0,0,0,0,0,0,2812,0
Januar,2023,60.4,326,60.4,1.6,0,0,1047.2,1102.8,4.1,0,1.8,0,0,2.1,0,0,2596.8,9.6
Februar,2023,251.8,78.6,251.8,0,0,0,729.9,830.9,0,0,0,0,0,0,0,0,2143,0
März,2023,0.6,67,0.6,0,0,0,556.3,695.1,0,0,0,0,0,0,0,0,1319.6,0
April,2023,0,7.2,0,0,0,0,39.8,596.8,0,0,0,0,0,0,0,0,643.8,0
Mai ,2023,0,0.1,0,0,0.7,2,2.9,146.1,0.1,1.1,1.3,0,0,0,0,0,149.1,5.2
Juni,2023,5.1,4.7,5.1,72.3,14.9,107,4.5,3.6,372.4,458.5,586.8,0,0,1.1,210.6,0,23,1823.6
Juli,2023,2.1,2.2,2.10,19.9,2.5,43.3,0.1,0.1,200.8,217.4,329.7,0,0,0.8,149.2,0,6.6,963.6
August,2023,0.4,0,0.4,0,0,38.3,0,0,24.7,199.4,147.5,0,0,0.5,85.1,0,0.8,495.5
September,2023,0,0.1,0,0,8.5,303.8,0.4,0.2,1.9,187.8,300.3,0.1,0,15.4,97.2,0,0.8,914.9
Oktober,2023,45.8,1112.8,45.8,0,0.8,37.5,986.6,1866.4,0.2,1,0.2,181.6,323.9,0,0.4,0,4562.9,40.1
November,2023,252.6,825.7,252.6,0,0,0,830,2469.8,0,0,0.1,1205.9,1701,0,0.1,0.4,7537.6,0.6
Dezember,2023,394.6,1103.7,394.6,0,0,0.1,892,2995.9,0,0,0,1408.5,2905,0,0.2,0.5,10094.3,0.8
Januar,2024,417.8,1746.3,417.8,0,0,0,833,3677.7,0,0,0,1299.9,3324.1,0,0,0,11716.6,0
Februar,2024,290.8,1155.9,290.8,0,0,0,599,2236,0,0.1,0.1,924.3,1776.1,0,0,0.3,7272.9,0.5
März,2024,152,594.1,152,0,0,0.3,403.4,1272.2,0,0,0.2,590.2,974.1,0,0.4,0.3,4138,1.2
April,2024,95.3,308.6,95.3,0,0.1,2,375,1065.2,0,0.2,0.9,521.1,716.9,0,2.2,3.8,3177.4,9.2
Mai ,2024,9.2,19,9.2,0,0,3.9,66.1,151.5,0,1,1.7,56.9,29.5,0,1.5,0.9,341.4,9
Juni,2024,15.8,37.9,15.8,43.1,8.6,205.9,92.1,191.2,67.7,297.2,266.4,90.9,0,46.3,54.3,0,443.7,989.5
Juli,2024,1.9,5.5,1.9,78.7,14.7,766.5,11.4,35.5,4.4,646.8,531.2,31.9,0,39.7,416.9,0,88.1,2498.9
August,2024,83.2,122.2,83.2,243.3,24.3,1670,2,269,377,187.3,800.2,238.5,0,78.3,921.4,0,798.1,4301.8
September,2024,39.6,171.7,39.6,0,3.6,282,33.3,343,0.7,0.1,182.7,419,0,1.6,169.8,0,1046.2,640.5
Oktober,2024,0,237,0,0,0,0,227.2,705.3,0,0,0,558.7,0,0,0.1,0,1728.2,0.1
November,2024,22.1,1409,22.1,0,0,0,481.2,2407.6,0,0,0.1,138.7,0,0,0.1,0,4480.7,0.2
Dezember,2024,118.6,2500,118.6,0,0,0,837.7,3446.5,0,0,0,2072.4,0,0,0,0,9093.8,0




